station_idx,day,value,var,timestamp,new_part,shahrestan,subbasin_i,Longitude,Latitude,new_elevation
330,0,864.0,tmin,2026-08-02T07:59:11.726225,,,,,,
330,0,865.0,tmin,2026-08-02T07:59:11.726225,,,,,,
330,0,706.0,tmin,2026-08-02T07:59:11.726225,,,,,,
330,0,868.0,tmin,2026-08-02T07:59:11.726225,,,,,,
330,1,864.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,1,861.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,1,706.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,1,849.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,1,868.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,2,864.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,2,861.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,2,706.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,2,849.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,2,868.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,3,864.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,3,861.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,3,706.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,3,849.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,3,856.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,864.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,861.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,749.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,706.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,867.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,849.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,4,856.0,tmin,2026-08-02T07:59:11.727195,,,,,,
330,5,861.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,5,749.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,5,867.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,5,875.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,5,849.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,5,856.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,6,749.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,6,860.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,6,867.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,6,875.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,6,856.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,7,849.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,7,749.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,7,860.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,7,867.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,7,875.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,7,856.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,8,849.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,8,749.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,8,860.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,8,867.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,8,875.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,8,866.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,9,849.0,tmin,2026-08-02T07:59:11.728210,,,,,,
330,9,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,9,860.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,9,865.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,9,875.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,9,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,9,845.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,849.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,860.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,865.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,661.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,10,845.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,11,849.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,11,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,11,865.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,11,661.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,11,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,11,845.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,12,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,12,865.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,12,661.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,12,873.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,12,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,12,845.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,865.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,661.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,873.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,866.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,877.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,845.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,13,830.0,tmin,2026-08-02T07:59:11.729192,,,,,,
330,14,869.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,14,661.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,14,873.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,14,866.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,14,877.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,14,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,14,830.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,869.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,873.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,866.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,877.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,871.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,15,830.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,869.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,873.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,866.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,877.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,871.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,830.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,16,737.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,869.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,866.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,877.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,872.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,871.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,874.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,868.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,830.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,17,737.0,tmin,2026-08-02T07:59:11.730192,,,,,,
330,18,869.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,872.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,872.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,870.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,872.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,871.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,874.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,868.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,737.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,18,876.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,872.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,872.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,870.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,871.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,874.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,875.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,868.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,737.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,876.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,19,886.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,872.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,870.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,874.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,875.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,868.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,737.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,876.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,886.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,20,880.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,870.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,874.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,875.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,868.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,876.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,886.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,21,880.0,tmin,2026-08-02T07:59:11.731186,,,,,,
330,22,870.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,22,875.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,22,875.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,22,853.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,22,876.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,22,886.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,22,880.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,23,875.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,23,875.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,23,853.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,23,864.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,23,886.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,23,880.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,24,875.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,24,853.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,24,864.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,24,864.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,24,880.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,25,875.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,25,853.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,25,878.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,25,864.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,25,864.0,tmin,2026-08-02T07:59:11.732185,,,,,,
330,26,875.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,26,853.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,26,878.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,26,864.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,26,864.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,27,878.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,27,864.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,27,864.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,28,878.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,28,864.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,29,878.0,tmin,2026-08-02T07:59:11.733186,,,,,,
330,30,873.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,31,873.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,31,871.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,32,873.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,32,873.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,32,871.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,33,873.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,33,873.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,33,848.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,33,871.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,33,843.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,33,875.0,tmin,2026-08-02T07:59:11.734177,,,,,,
330,34,873.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,34,873.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,34,848.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,34,868.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,34,871.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,34,843.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,34,875.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,35,873.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,35,848.0,tmin,2026-08-02T07:59:11.735180,,,,,,
330,35,868.0,tmin,2026-08-02T07:59:11.735180,,,,,,
