,aicc,aicc,aicc,aicc,aicc,bic,bic,bic,bic,bic,loglik,loglik,loglik,loglik,loglik
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
distribution,,,,,,,,,,,,,,,
Bimodal,14640000,53558.98,3399820.06,1118.24,3.1e+08,14640000,53573.78,3399820.07,1133.05,3.1000003e+08,14640000,-26774.29,1699910.03,-1.55e+08,-553.92
GEV,14268683,1595.98,122.46,1179.82,62057.58,14268683,1604.95,122.47,1188.28,62066.55,14268683,-794.91,61.23,-31025.71,-586.81
Normal,14640000,1527.02,98.93,1111.94,1843.01,14640000,1533.02,98.94,1117.95,1849.01,14640000,-761.47,49.46,-919.46,-553.93
Skew‑Normal,13732123,1529.35,99.47,1114.02,1809.02,13732123,1538.31,99.49,1122.99,1817.99,13732123,-761.59,49.74,-901.43,-553.93
